Branch,Card_Number,Prize
Bethlehem,BH000,لقاء مجاني لبرنامج من اختيارك
Bethlehem,BH001,دورة مهارات الحاسوب
Bethlehem,BH002,خصم المسجلين المبكرين 10%
Bethlehem,BH003,2 بسعر 1 للدورات القصيرة
Bethlehem,BH005,2 بسعر 1 للدورات القصيرة
Bethlehem,BH006,خدمة تجميل
Bethlehem,BH007,دورة لغة انجليزية
Bethlehem,BH008,خصم الأصحاب
Bethlehem,BH009,خدمة تجميل
Bethlehem,BH011,سحب على الجائزة الكبرى
Bethlehem,BH012,جلسة تصوير
Bethlehem,BH013,خصم الأصحاب
Bethlehem,BH014,لقاء مجاني لبرنامج من اختيارك
Bethlehem,BH015,2 بسعر 1 للدورات القصيرة
Bethlehem,BH016,جلسة تصوير
Bethlehem,BH018,2 بسعر 1 للدورات القصيرة
Bethlehem,BH019,لقاء مجاني لبرنامج من اختيارك
Bethlehem,BH020,لقاء مجاني لبرنامج من اختيارك
Bethlehem,BH021,جلسة تصوير
Bethlehem,BH022,خصم 8%
Bethlehem,BH023,خصم 8%
Bethlehem,BH024,لقاء مجاني لبرنامج من اختيارك
Bethlehem,BH025,خصم المسجلين المبكرين 10%
Bethlehem,BH027,خصم 8%
Bethlehem,BH028,لقاء مجاني لبرنامج من اختيارك
Bethlehem,BH029,خصم 8%
Bethlehem,BH030,خصم 8%
Bethlehem,BH031,لقاء مجاني لبرنامج من اختيارك
Bethlehem,BH032,خصم المسجلين المبكرين 10%
Bethlehem,BH033,خصم الأصحاب
Bethlehem,BH034,2 بسعر 1 للدورات القصيرة
Bethlehem,BH035,لقاء مجاني لبرنامج من اختيارك
Bethlehem,BH036,لقاء مجاني لبرنامج من اختيارك
Bethlehem,BH037,خصم 8%
Bethlehem,BH038,جلسة تصوير
Bethlehem,BH039,خصم 5%
Bethlehem,BH040,خصم 8%
Bethlehem,BH042,2 بسعر 1 للدورات القصيرة
Bethlehem,BH043,خصم المسجلين المبكرين 10%
Bethlehem,BH044,خدمة تجميل
Bethlehem,BH045,دورة لغة انجليزية
Bethlehem,BH047,دورة مهارات الحاسوب
Bethlehem,BH048,خصم المسجلين المبكرين 10%
Bethlehem,BH049,هدية فورية
Bethlehem,BH050,دورة مهارات الحاسوب
Bethlehem,BH051,خصم الأصحاب
Bethlehem,BH052,لقاء مجاني لبرنامج من اختيارك
Bethlehem,BH053,لقاء مجاني لبرنامج من اختيارك
Bethlehem,BH054,دورة لغة انجليزية
Bethlehem,BH055,خصم الأصحاب
Bethlehem,BH056,خصم الأصحاب
Bethlehem,BH057,خدمة تجميل
Bethlehem,BH058,دورة لغة انجليزية
Bethlehem,BH059,هدية فورية
Bethlehem,BH060,هدية فورية
Bethlehem,BH061,خصم المسجلين المبكرين 10%
Bethlehem,BH062,خدمة تجميل
Bethlehem,BH063,دورة لغة انجليزية
Bethlehem,BH065,خصم الأصحاب
Bethlehem,BH066,خصم المسجلين المبكرين 10%
Bethlehem,BH067,خصم الأصحاب
Bethlehem,BH069,خصم الأصحاب
Bethlehem,BH070,لقاء مجاني لبرنامج من اختيارك
Bethlehem,BH072,لقاء مجاني لبرنامج من اختيارك
Bethlehem,BH073,هدية فورية
Bethlehem,BH074,خصم 8%
Bethlehem,BH075,خصم 8%
Bethlehem,BH076,خصم المسجلين المبكرين 10%
Bethlehem,BH077,خصم الأصحاب
Bethlehem,BH078,جلسة تصوير
Bethlehem,BH079,سحب على الجائزة الكبرى
Bethlehem,BH080,خصم 5%
Bethlehem,BH081,خدمة تجميل
Bethlehem,BH082,خصم 5%
Bethlehem,BH083,جلسة تصوير
Bethlehem,BH084,خصم الأصحاب
Bethlehem,BH085,خصم المسجلين المبكرين 10%
Bethlehem,BH086,خصم المسجلين المبكرين 10%
Bethlehem,BH087,خصم الأصحاب
Bethlehem,BH088,خصم 5%
Bethlehem,BH089,دورة مهارات الحاسوب
Bethlehem,BH091,خصم المسجلين المبكرين 10%
Bethlehem,BH092,خصم المسجلين المبكرين 10%
Bethlehem,BH093,خدمة تجميل
Bethlehem,BH094,خصم 8%
Bethlehem,BH095,خصم 5%
Bethlehem,BH096,2 بسعر 1 للدورات القصيرة
Bethlehem,BH097,لقاء مجاني لبرنامج من اختيارك
Bethlehem,BH098,دورة مهارات الحاسوب
Bethlehem,BH099,لقاء مجاني لبرنامج من اختيارك
Bethlehem,BH100,خصم 8%
Bethlehem,BH102,خصم المسجلين المبكرين 10%
Bethlehem,BH103,2 بسعر 1 للدورات القصيرة
Bethlehem,BH104,دورة لغة انجليزية
Bethlehem,BH105,خصم الأصحاب
Bethlehem,BH106,لقاء مجاني لبرنامج من اختيارك
Bethlehem,BH107,خصم المسجلين المبكرين 10%
Bethlehem,BH109,خصم 5%
Bethlehem,BH111,جلسة تصوير
Bethlehem,BH112,2 بسعر 1 للدورات القصيرة
Bethlehem,BH113,خصم المسجلين المبكرين 10%
Bethlehem,BH114,دورة لغة انجليزية
Bethlehem,BH116,هدية فورية
Bethlehem,BH117,دورة لغة انجليزية
Bethlehem,BH118,2 بسعر 1 للدورات القصيرة
Bethlehem,BH119,خصم 5%
Bethlehem,BH120,خصم الأصحاب
Bethlehem,BH121,2 بسعر 1 للدورات القصيرة
Bethlehem,BH122,لقاء مجاني لبرنامج من اختيارك
Bethlehem,BH123,خصم 5%
Bethlehem,BH124,خصم 5%
Bethlehem,BH125,خدمة تجميل
Bethlehem,BH126,دورة لغة انجليزية
Bethlehem,BH127,خصم 5%
Bethlehem,BH129,خصم 8%
Bethlehem,BH131,جلسة تصوير
Bethlehem,BH132,2 بسعر 1 للدورات القصيرة
Bethlehem,BH134,خصم الأصحاب
Bethlehem,BH135,خصم المسجلين المبكرين 10%
Bethlehem,BH136,دورة لغة انجليزية
Bethlehem,BH139,دورة مهارات الحاسوب
Bethlehem,BH140,خصم المسجلين المبكرين 10%
Bethlehem,BH141,2 بسعر 1 للدورات القصيرة
Bethlehem,BH142,2 بسعر 1 للدورات القصيرة
Bethlehem,BH143,لقاء مجاني لبرنامج من اختيارك
Bethlehem,BH144,خصم 8%
Bethlehem,BH145,2 بسعر 1 للدورات القصيرة
Bethlehem,BH146,خصم 8%
Bethlehem,BH148,خصم 8%
Bethlehem,BH149,2 بسعر 1 للدورات القصيرة
Bethlehem,BH150,خصم 5%
Bethlehem,BH151,خصم 8%
Bethlehem,BH152,دورة مهارات الحاسوب
Bethlehem,BH153,خصم 5%
Bethlehem,BH154,خصم 8%
Bethlehem,BH155,دورة لغة انجليزية
Bethlehem,BH156,خصم المسجلين المبكرين 10%
Bethlehem,BH157,خصم الأصحاب
Bethlehem,BH158,2 بسعر 1 للدورات القصيرة
Bethlehem,BH159,خصم الأصحاب
Bethlehem,BH160,خصم 5%
Bethlehem,BH161,لقاء مجاني لبرنامج من اختيارك
Bethlehem,BH162,خصم 5%
Bethlehem,BH163,لقاء مجاني لبرنامج من اختيارك
Bethlehem,BH164,هدية فورية
Bethlehem,BH166,خصم 8%
Bethlehem,BH168,لقاء مجاني لبرنامج من اختيارك
Bethlehem,BH169,2 بسعر 1 للدورات القصيرة
Bethlehem,BH170,2 بسعر 1 للدورات القصيرة
Bethlehem,BH171,خصم 5%
Bethlehem,BH172,دورة لغة انجليزية
Bethlehem,BH173,لقاء مجاني لبرنامج من اختيارك
Bethlehem,BH174,دورة مهارات الحاسوب
Bethlehem,BH175,سحب على الجائزة الكبرى
Bethlehem,BH176,خصم 8%
Bethlehem,BH177,جلسة تصوير
Bethlehem,BH178,لقاء مجاني لبرنامج من اختيارك
Bethlehem,BH179,خصم 5%
Bethlehem,BH180,خصم الأصحاب
Bethlehem,BH181,خدمة تجميل
Bethlehem,BH182,لقاء مجاني لبرنامج من اختيارك
Bethlehem,BH183,خصم 5%
Bethlehem,BH184,خصم الأصحاب
Bethlehem,BH185,سحب على الجائزة الكبرى
Bethlehem,BH186,خصم 5%
Bethlehem,BH187,لقاء مجاني لبرنامج من اختيارك
Bethlehem,BH189,2 بسعر 1 للدورات القصيرة
Bethlehem,BH190,دورة لغة انجليزية
Bethlehem,BH191,خصم الأصحاب
Bethlehem,BH192,خصم الأصحاب
Bethlehem,BH193,خصم الأصحاب
Bethlehem,BH194,خصم الأصحاب
Bethlehem,BH195,جلسة تصوير
Bethlehem,BH198,سحب على الجائزة الكبرى
Bethlehem,BH199,خصم 8%
Bethlehem,BH200,خصم 8%
Bethlehem,BH201,خدمة تجميل
Bethlehem,BH202,جلسة تصوير
Bethlehem,BH203,جلسة تصوير
Bethlehem,BH204,خصم 5%
Bethlehem,BH205,سحب على الجائزة الكبرى
Bethlehem,BH206,خصم 5%
Bethlehem,BH207,2 بسعر 1 للدورات القصيرة
Bethlehem,BH208,سحب على الجائزة الكبرى
Bethlehem,BH209,خصم 8%
Bethlehem,BH210,دورة مهارات الحاسوب
Bethlehem,BH211,2 بسعر 1 للدورات القصيرة
Bethlehem,BH212,خصم الأصحاب
Bethlehem,BH213,خصم الأصحاب
Bethlehem,BH214,سحب على الجائزة الكبرى
Bethlehem,BH215,هدية فورية
Bethlehem,BH217,2 بسعر 1 للدورات القصيرة
Bethlehem,BH218,خصم الأصحاب
Bethlehem,BH219,لقاء مجاني لبرنامج من اختيارك
Bethlehem,BH220,خصم المسجلين المبكرين 10%
Bethlehem,BH221,دورة لغة انجليزية
Bethlehem,BH222,سحب على الجائزة الكبرى
Bethlehem,BH223,هدية فورية
Bethlehem,BH224,دورة لغة انجليزية
Bethlehem,BH225,دورة مهارات الحاسوب
Bethlehem,BH226,خصم الأصحاب
Bethlehem,BH227,لقاء مجاني لبرنامج من اختيارك
Bethlehem,BH228,جلسة تصوير
Bethlehem,BH229,جلسة تصوير
Bethlehem,BH230,خصم 8%
